Year,Superstition Index
2010,69.80358915276926
2011,72.51587956890474
2012,72.41468139990474
2013,72.61663305190473
2014,68.15622977482224
2015,68.22711593922224
2016,67.69897362357224
2017,66.99100272610585
2018,67.72690675210586
2019,69.87781131450036
2020,69.76800201815036
2021,68.91338176755036
2022,67.82706507214985
