Year,Superstition Index
2010,58.720665102465546
2011,59.590603751444156
2012,59.809794778044164
2013,59.79172315229415
2014,60.86306299973497
2015,60.35539002108497
2016,60.572346244034975
2017,59.36254111701333
2018,58.977866052363325
2019,58.876696345363335
2020,56.12219323782585
2021,54.494695302675844
2022,53.70971708974454
